"","date","plant_id","length"
"1","2022-03-04","A01",3.2497227
"2","2022-03-04","A02",4.103096
"3","2022-03-04","A03",4.3259907
"4","2022-03-04","A04",3.1756372
"5","2022-03-04","A05",3.7732773
"6","2022-03-04","A06",3.3944626
"7","2022-03-04","A07",3.6609757
"8","2022-03-04","A08",4.235395
"9","2022-03-04","A09",3.6741707
"10","2022-03-04","A10",4.5024123
"11","2022-03-04","A11",6.372298
"12","2022-03-04","A12",12.053578
"13","2022-03-04","B01",0.78040814
"14","2022-03-04","B02",0.39084
"15","2022-03-04","B03",1.2219723
"16","2022-03-04","C01",3.1110077
"17","2022-03-04","C02",4.17265
"18","2022-03-04","C03",2.6055214
"19","2022-03-04","C04",4.952283
"20","2022-03-04","D01",3.9952326
"21","2022-03-04","D02",3.5391002
"22","2022-03-04","D03",2.7833228
"23","2022-03-04","D04",2.5041802
"24","2022-03-04","D05",3.1630337
"25","2022-03-04","D06",2.8931634
"26","2022-03-04","D07",2.2222316
"27","2022-03-04","D08",3.7900426
"28","2022-03-04","D09",2.6885128
"29","2022-03-04","D11",0.5166799
"30","2022-03-04","D12",1.1089538
"31","2022-03-04","E01",4.243959
"32","2022-03-04","E02",1.4975626
"33","2022-03-04","E03",3.9061968
"34","2022-03-04","E04",3.1555398
"35","2022-03-04","E05",3.4706962
"36","2022-03-04","E06",2.2404196
"37","2022-03-04","E07",4.137636
"38","2022-03-04","E08",2.3408234
"39","2022-03-04","E09",2.3134913
"40","2022-03-04","F01",3.837825
"41","2022-03-04","F02",4.7813673
"42","2022-03-04","F03",4.3909492
"43","2022-03-04","F04",1.974044
"44","2022-03-04","F05",2.535132
"45","2022-03-04","F06",1.3671769
"46","2022-03-04","F07",2.2011952
"47","2022-03-04","F08",1.711127
"48","2022-03-04","G01",4.31708
"49","2022-03-04","G02",3.1760213
"50","2022-03-04","G03",4.1785693
"51","2022-03-04","G04",3.7423515
"52","2022-03-04","G05",2.7810113
"53","2022-03-04","G06",6.2283354
"54","2022-03-04","G07",4.658629
"55","2022-03-04","G08",4.3835344
"56","2022-03-04","G09",3.0765674
"57","2022-03-04","G10",5.5294785
"58","2022-03-04","G11",3.8360581
"59","2022-03-04","G12",1.6063997
"60","2022-03-08","A01",3.2834945
"61","2022-03-08","A02",8.16357852111143
"62","2022-03-08","A03",7.53014464788451
"63","2022-03-08","A04",6.81475845835167
"64","2022-03-08","A05",4.95377894401234
"65","2022-03-08","A06",10.2734994189175
"66","2022-03-08","A07",13.116988
"67","2022-03-08","A08",10.4479452085123
"68","2022-03-08","A09",11.5777475859404
"69","2022-03-08","A10",11.6515470558992
"70","2022-03-08","A11",7.30749873782984
"71","2022-03-08","A12",11.2961407267785
"72","2022-03-08","C01",9.20341761480751
"73","2022-03-08","C02",8.06367893160461
"74","2022-03-08","C03",5.65857927940944
"75","2022-03-08","C04",7.35531451753814
"76","2022-03-08","D01",11.5581035595534
"77","2022-03-08","D02",9.64918586516176
"78","2022-03-08","D03",9.83859664986576
"79","2022-03-08","D04",9.37787487005761
"80","2022-03-08","D05",5.85519393875427
"81","2022-03-08","D06",6.17350292587656
"82","2022-03-08","D08",13.3928805831218
"83","2022-03-08","E01",6.68693609117473
"84","2022-03-08","E03",4.4336339323179
"85","2022-03-08","E04",3.73132358304687
"86","2022-03-08","E05",9.32730124125129
"87","2022-03-08","E06",6.02874620857647
"88","2022-03-08","E07",9.39144594468972
"89","2022-03-08","F01",11.6790531762873
"90","2022-03-08","F02",12.0291715098065
"91","2022-03-08","F03",11.3329727687773
"92","2022-03-08","F04",8.31069176519845
"93","2022-03-08","F05",3.43672214279831
"94","2022-03-08","F06",3.15992457424858
"95","2022-03-08","F07",7.20877112918261
"96","2022-03-08","F08",5.13542550800349
"97","2022-03-08","G01",4.31035362949273
"98","2022-03-08","G02",8.0451239943712
"99","2022-03-08","G03",6.03701410743407
